pattern,prob_feature,occur_feature,log_occur_feature,prob_log_occur,constant,outsideSentence,new_outside,frequency,quote,dash,parenthesis,capital,avg_idf,stop_ratio,first_stop,last_stop,F1.1,F4.1
as far as,290.6310860454,0.1115901209,34.9648935253,0.0010936097,1,0.1029351241,0.2012517312,38,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0086448778,1.0000000000,1,1,0.0000000000,0.0000000000
is quite,18.5116640161,0.0303908106,22.4166635912,0.0005824304,1,0.1118020147,0.2518175692,59,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0120923716,1.0000000000,1,1,0.0000000000,0.0000000000
really need,42.4058002197,0.0198610646,12.4283388267,0.0001394301,1,0.0492581545,0.0693513964,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0047645497,1.0000000000,1,1,0.0000000000,0.0000000000
visit again,99.8902226490,0.0400619275,20.0686837463,0.0002958985,1,0.0356284456,0.0321387024,19,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0033653132,0.5000000000,0,1,0.0000000000,0.0000000000
of sauce,3.9422383715,0.0077464236,5.8198367477,0.0000835207,1,0.4587689553,0.9707968026,18,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0131449752,0.5000000000,1,0,0.0000000000,0.0000000000
in search,53.7887955275,0.0223684454,13.2169659801,0.0001482775,1,0.1931701383,0.4435923882,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0090297237,0.5000000000,1,0,0.0000000000,0.0000000000
the fresh,1.4000757737,0.0049863065,1.5421575146,0.0000239048,1,0.3618253245,1.7926357446,21,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0227832011,0.5000000000,1,0,0.0000000000,0.0000000000
comfort food,91.9599975115,0.0278864367,14.2977757133,0.0001529381,1,0.0360576526,0.0896985136,10,0.1818181818,0.0000000000,0.0000000000,0.0000000000,0.0089482156,0.0000000000,0,0,0.0000000000,0.0000000000
where to,6.6998148681,0.0109077355,8.7164250939,0.0001351124,1,0.2749288123,0.7505264615,21,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0136549269,1.0000000000,1,1,0.0000000000,0.0000000000
the garlic nan,7.9629309630,0.0108036640,7.4807874871,0.0001368540,1,0.2933501232,1.1231845055,13,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0161640099,0.3333333333,1,0,0.0000000000,0.0000000000
it up,8.3213008322,0.0212216500,16.9505487411,0.0004586917,1,0.1884582766,0.3044294679,64,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0136087295,1.0000000000,1,1,0.0000000000,0.0000000000
craving for,45.7653933976,0.0403168687,24.7792948356,0.0005432011,1,0.1099805095,0.2380864176,42,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0098502585,0.5000000000,0,1,0.0000000000,0.0000000000
the guy,14.8243317217,0.0237512991,18.0871281187,0.0004104148,1,0.2885992740,1.8240311303,45,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0214097147,0.5000000000,1,0,0.0000000000,0.0000000000
like their,5.8448634802,0.0086104602,6.8379970173,0.0000895822,1,0.2000564521,0.1834842373,15,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0084330667,1.0000000000,1,1,0.0000000000,0.0000000000
attentive and,17.1382129768,0.0325265309,24.2761688125,0.0007015985,1,0.2327089492,0.7700889243,73,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0162547686,0.5000000000,0,1,0.0000000000,0.0000000000
large group,594.1429024751,0.0977047789,27.8408100405,0.0004104930,1,0.1429165003,0.1639567965,19,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0016748813,0.0000000000,0,0,1.7708900681,0.0006206714
side of rice,120.6181624268,0.0508330387,20.8905892924,0.0004620254,1,0.1736055737,0.2922242108,19,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0105531176,0.6666666667,1,0,0.0000000000,0.0000000000
i looked,7.3805252135,0.0093476233,7.4789924230,0.0000946573,1,0.2064195049,0.6139844089,14,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0155931805,0.5000000000,1,0,0.0000000000,0.0000000000
they seemed,15.1164800327,0.0118581033,9.0072416525,0.0001010498,1,0.0917096258,0.2173248490,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0076058515,1.0000000000,1,1,0.0000000000,0.0000000000
eat at the,6.5336869440,0.0085830586,5.9355047276,0.0000952349,1,0.2347741454,1.0520725728,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0188269198,0.6666666667,0,1,0.0000000000,0.0000000000
dinner for two,123.7303292411,0.0391739482,15.9798446056,0.0002689102,1,0.3196630346,0.5320928169,11,0.0909090909,0.0000000000,0.0000000000,0.0909090909,0.0092523232,0.6666666667,0,1,0.0000000000,0.0000000000
and staff,2.1703185992,0.0066368334,3.7960917157,0.0000629056,1,0.3025955356,0.8101201305,24,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0173413841,0.5000000000,1,0,0.0000000000,0.0000000000
and family,3.3446690741,0.0058258695,4.1824445977,0.0000490081,1,0.2755491044,0.8700375650,12,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0161324581,0.5000000000,1,0,0.0000000000,0.0000000000
for dinner,56.3724767632,0.1197871839,69.9522565764,0.0041051787,1,0.2096555512,0.3382336680,301,0.0000000000,0.0000000000,0.0000000000,0.0033003300,0.0117976044,0.5000000000,1,0,0.0000000000,0.0000000000
place will,4.0489842059,0.0066717270,5.0422410009,0.0000614954,1,0.2320443185,0.2514540866,13,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0090478295,0.5000000000,0,1,0.0000000000,0.0000000000
good price,10.2842283776,0.0117961258,9.3224459849,0.0001261354,1,0.1882708410,0.3115227533,16,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0082353612,0.5000000000,1,0,0.0000000000,0.0000000000
here many,18.8895331656,0.0159868961,11.7544318716,0.0001590409,1,0.0625000000,0.0625000000,16,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0061980954,1.0000000000,1,1,0.0000000000,0.0000000000
to grab,51.2790206183,0.0287038539,17.1622131024,0.0002530447,1,0.1971614457,0.6210646746,19,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0126703139,0.5000000000,1,0,0.0000000000,0.0000000000
am from,12.7580619059,0.0103868988,8.0516755698,0.0000861258,1,0.0592076340,0.0604454358,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0057770261,1.0000000000,1,1,0.0000000000,0.0000000000
am a,8.7027154966,0.0213607642,17.0364798376,0.0004537564,1,0.1791364017,0.3635581192,62,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0155874991,1.0000000000,1,1,0.0000000000,0.0000000000
asked me,31.2395456849,0.0205591850,13.7667391285,0.0001862680,1,0.1529228284,0.1704785274,16,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0053213022,0.5000000000,0,1,0.0000000000,0.0000000000
could have been a,15.3363265920,0.0139476118,8.6337273152,0.0001847036,1,0.1819551380,0.4012899151,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0127288229,1.0000000000,1,1,0.0000000000,0.0000000000
and having,3.1375809188,0.0054024077,3.7924015648,0.0000425459,1,0.2204956092,0.3536135606,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0161182954,1.0000000000,1,1,0.0000000000,0.0000000000
really wanted,24.2062707385,0.0143072937,10.0769510570,0.0001077894,1,0.0000000000,0.0000000000,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0051375717,0.5000000000,1,0,0.0000000000,0.0000000000
it was good,6.5662175168,0.0207221373,14.3324123982,0.0005538238,1,0.2729407455,0.3318932885,58,0.0000000000,0.0000000000,0.0000000000,0.0163934426,0.0204776745,1.0000000000,1,1,0.0000000000,0.0000000000
i have ever had,49.2432886211,0.0541828234,26.7149303384,0.0012390250,1,0.1943065382,0.4498484256,47,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0148316249,1.0000000000,1,1,0.0000000000,0.0000000000
this a,0.3351452840,0.0023205285,-4.7651097820,-0.0000702582,1,0.3065894257,0.4341943899,19,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0210044684,1.0000000000,1,1,0.0000000000,0.0000000000
good deal,25.5137436067,0.0191516018,13.3556349565,0.0001862671,1,0.1214019516,0.1918741454,17,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0074416166,0.5000000000,1,0,0.0000000000,0.0000000000
off of,7.6380868447,0.0152488501,12.1988829529,0.0002475816,1,0.1438982320,0.3066098438,36,0.0000000000,0.0277777778,0.0000000000,0.0000000000,0.0131195983,1.0000000000,1,1,0.0000000000,0.0000000000
can you,4.4717775857,0.0070114093,5.4003442218,0.0000658628,1,0.1048449199,0.1229803896,13,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0097158015,1.0000000000,1,1,0.0000000000,0.0000000000
i was a,3.5476025136,0.0156205137,9.8899006890,0.0003919180,1,0.5366995945,0.7898008557,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0281499450,1.0000000000,1,1,0.0000000000,0.0000000000
is a must try,41.0498764198,0.0228189210,11.7471905526,0.0002513108,1,0.1968514437,0.3315576988,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0140624501,1.0000000000,1,1,0.0000000000,0.0000000000
only to,1.0198380808,0.0032169905,0.0680483632,0.0000007974,1,0.2266730618,0.4998808959,12,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0155797963,1.0000000000,1,1,0.0000000000,0.0000000000
been better,29.3038147206,0.0222623305,15.1056127845,0.0002285075,1,0.0000000000,0.0000000000,20,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0053974907,1.0000000000,1,1,0.0000000000,0.0000000000
we had a great,20.7741658937,0.0187443483,9.5934339626,0.0002052349,1,0.3372788513,0.3630661827,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0175132286,0.7500000000,1,0,0.0000000000,0.0000000000
and every,3.9380781034,0.0093051287,6.9891894021,0.0001205482,1,0.2755666612,0.9198230561,26,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0166735486,1.0000000000,1,1,0.0000000000,0.0000000000
it has a,16.7702731284,0.0225951312,14.6511122254,0.0003862699,1,0.2315835183,0.4214413356,27,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0177720833,1.0000000000,1,1,0.0000000000,0.0000000000
at our,3.5112026546,0.0062128830,4.5284231878,0.0000552288,1,0.2299366786,0.2414053791,13,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0096199823,1.0000000000,1,1,0.0000000000,0.0000000000
was no,7.7182433340,0.0216779909,17.3404089321,0.0004977058,1,0.2801134893,0.6133540339,72,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0165172340,1.0000000000,1,1,0.0000000000,0.0000000000
was better,3.1672237616,0.0071336159,5.0251802687,0.0000740927,1,0.2301377560,0.4852631892,19,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0157151576,1.0000000000,1,1,0.0000000000,0.0000000000
are also,9.8609525186,0.0150049608,11.8918248959,0.0002090150,1,0.1953004840,0.2218216665,27,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0086744392,1.0000000000,1,1,0.0000000000,0.0000000000
lacking in,58.8024807262,0.0352583007,20.3709202162,0.0003445306,1,0.1300091964,0.2713450633,25,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0092107281,0.5000000000,0,1,0.0000000000,0.0000000000
even if you,14.2501891940,0.0126757374,8.4014449992,0.0001348008,1,0.2525782151,0.3366965195,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0091712444,1.0000000000,1,1,0.0000000000,0.0000000000
you know what,35.2245573025,0.0235803207,13.3268238391,0.0002530050,1,0.2227234329,0.3572628427,14,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0081121790,1.0000000000,1,1,0.0000000000,0.0000000000
veggie samosa,261.9118493909,0.0493591265,18.4669933473,0.0002071761,1,0.0909090909,0.0909090909,11,0.0000000000,0.0000000000,0.0000000000,0.1818181818,0.0018585360,0.0000000000,0,0,0.4567461907,-0.0001871495
times and,6.6995353100,0.0188923579,15.0969599243,0.0004053282,1,0.1801094360,0.4883822037,63,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0171141000,0.5000000000,0,1,0.0000000000,0.0000000000
is kind of,5.5695812228,0.0079245423,5.4306422498,0.0000871344,1,0.0800977270,0.1204230871,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0151032726,0.6666666667,1,1,0.0000000000,0.0000000000
had leftovers,45.2418700742,0.0205144636,12.6430499405,0.0001418389,1,0.1642212659,0.3154264687,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0071981897,0.5000000000,1,0,0.0000000000,0.0000000000
my date,46.7212181075,0.0226632560,13.8604544828,0.0001690426,1,0.0373552799,0.0728950879,13,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0075765035,0.5000000000,1,0,0.0000000000,0.0000000000
i go,5.4791342832,0.0208695675,16.4912940968,0.0005408362,1,0.3673765651,0.8407116220,94,0.0000000000,0.0000000000,0.0000000000,0.0105263158,0.0184522385,1.0000000000,1,1,0.0000000000,0.0000000000
i look,10.0963028894,0.0154615757,12.2348499470,0.0002189902,1,0.2605913465,0.6717679752,28,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0158354439,1.0000000000,1,1,0.0000000000,0.0000000000
all the indian,11.1362951467,0.0177175345,12.0510480354,0.0003057266,1,0.3474203254,1.1142271578,25,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0221224385,0.6666666667,1,0,0.0000000000,0.0000000000
very excited,53.1276076376,0.0232190423,13.7618250930,0.0001612552,1,0.0880022071,0.1532341126,12,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0059639049,0.5000000000,1,0,0.0000000000,0.0000000000
here the,0.2690341683,0.0017846838,-4.9124851715,-0.0000621745,1,0.2939896559,1.2783617813,14,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0253649910,1.0000000000,1,1,0.0000000000,0.0000000000
that indian,0.8735182420,0.0035436759,-0.5575521772,-0.0000077760,1,0.1494985345,0.1470772645,17,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0154196173,0.5000000000,1,0,0.0000000000,0.0000000000
restaurants in madison,211.8726708075,0.0535415588,18.5536779687,0.0003261061,1,0.1129401271,0.3259709185,12,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0075993977,0.3333333333,0,0,4.1045624713,0.0028555108
we also,21.7714500920,0.0500387764,35.9256547815,0.0014171677,1,0.1658811481,0.2576788102,136,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0130558201,1.0000000000,1,1,0.0000000000,0.0000000000
how it,5.6187924714,0.0092480740,7.3232932734,0.0001050969,1,0.2627339793,0.4679667801,18,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0121584172,1.0000000000,1,1,0.0000000000,0.0000000000
saw the,7.2373147688,0.0121195892,9.6963063682,0.0001606790,1,0.2637535457,1.0971826424,24,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0214475762,1.0000000000,1,1,0.0000000000,0.0000000000
went on,15.0648535543,0.0214154526,16.2741867097,0.0003302917,1,0.0811911452,0.1136584758,36,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0087381075,1.0000000000,1,1,0.0000000000,0.0000000000
bit dry,115.3669291897,0.0327589941,15.7477249958,0.0001766694,1,0.1154783626,0.1368019028,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0029002390,0.0000000000,0,0,0.0000000000,0.0000000000
a ok,2.6252962524,0.0049417304,3.2011855112,0.0000359132,1,0.1667507260,0.3116652771,11,0.1666666667,1.0000000000,0.0000000000,0.8333333333,0.0149471163,1.0000000000,1,1,0.0000000000,0.0000000000
a late,13.3267389696,0.0125608640,9.6900412768,0.0001226413,1,0.2221552619,0.7616120697,14,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0140836399,0.5000000000,1,0,0.0000000000,0.0000000000
wait a,2.3539478025,0.0046793799,2.8393420348,0.0000318538,1,0.3707001031,0.9220073119,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0150612140,0.5000000000,0,1,0.0000000000,0.0000000000
will definitely go,119.8483241235,0.0615117263,25.3263326024,0.0006799699,1,0.0663275398,0.0635399886,28,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0060913136,1.0000000000,1,1,0.0000000000,0.0000000000
better than,292.3602478727,0.1853788185,66.9424767143,0.0026696619,1,0.0357442139,0.0339080408,139,0.0000000000,0.0069444444,0.0000000000,0.0000000000,0.0046098674,1.0000000000,1,1,0.0000000000,0.0000000000
we go,5.1481238885,0.0123438907,9.6942797462,0.0001939977,1,0.3144147514,0.4381255975,35,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0131931795,1.0000000000,1,1,0.0000000000,0.0000000000
good reviews,20.9112643678,0.0183299169,13.2523080586,0.0001953959,1,0.0290493901,0.0449720878,19,0.0526315789,0.0000000000,0.0000000000,0.0526315789,0.0076802438,0.5000000000,1,0,0.0000000000,0.0000000000
i expected,41.6472494189,0.0384601839,24.1682071516,0.0005298051,1,0.1675335859,0.4863773061,42,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0153099677,0.5000000000,1,0,0.0000000000,0.0000000000
and i went to,7.0161161612,0.0094338195,6.1607803644,0.0001317992,1,0.3345640791,0.6103470589,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0225150436,1.0000000000,1,1,0.0000000000,0.0000000000
oh so,33.0111610297,0.0211341089,13.9873828692,0.0001892533,1,0.1366836605,0.2203643325,16,0.0000000000,0.1875000000,0.0000000000,0.0000000000,0.0067260379,1.0000000000,1,1,0.0000000000,0.0000000000
not having,15.8971532431,0.0115945322,8.7473028910,0.0000935667,1,0.0543927409,0.0877916218,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0072780162,1.0000000000,1,1,0.0000000000,0.0000000000
not to,2.5855359860,0.0140278172,9.0118541118,0.0002891895,1,0.2334595988,0.4165637242,90,0.0000000000,0.0000000000,0.0000000000,0.0206185567,0.0188488721,1.0000000000,1,1,0.0000000000,0.0000000000
eating indian food,26.5967036724,0.0244901713,14.6721267825,0.0003329250,1,0.0948357874,0.1319814820,20,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0119379668,0.0000000000,0,0,0.0000000000,0.0000000000
was amazing,20.0575820576,0.0435854816,31.7342761438,0.0011360167,1,0.2162555000,0.5053221853,112,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0156065496,0.5000000000,1,0,0.0000000000,0.0000000000
probably not,12.8157187446,0.0109184597,8.4596234613,0.0000949062,1,0.0000000000,0.0000000000,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0075165295,1.0000000000,1,1,0.0000000000,0.0000000000
has no,18.2654511020,0.0141703451,10.4741674055,0.0001277433,1,0.0499175364,0.0377347484,13,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0053697661,1.0000000000,1,1,0.0000000000,0.0000000000
visit this,15.0263650886,0.0163354147,12.4178926295,0.0001924884,1,0.1359119481,0.2092851177,21,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0086631859,0.5000000000,0,1,0.0000000000,0.0000000000
will say,27.5266063930,0.0186859643,12.8395325223,0.0001682062,1,0.0364860808,0.0365230007,15,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0050309544,1.0000000000,1,1,0.0000000000,0.0000000000
mango chicken,17.0908225128,0.0165711188,12.3729160873,0.0001824299,1,0.3126527886,0.4551837389,19,0.0000000000,0.0000000000,0.0000000000,0.3157894737,0.0075039390,0.0000000000,0,0,0.0000000000,0.0000000000
made it,12.1618686908,0.0224487283,17.4881387798,0.0004140843,1,0.1682640307,0.3163740626,49,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0124560520,1.0000000000,1,1,0.0000000000,0.0000000000
little too,49.9901097320,0.0445742991,26.8181222947,0.0006219055,1,0.1359255879,0.1352263221,47,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0058655606,1.0000000000,1,1,0.0000000000,0.0000000000
down on,7.0340073901,0.0077124961,6.1688339682,0.0000659858,1,0.0000000000,0.0000000000,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0079775088,1.0000000000,1,1,0.0000000000,0.0000000000
their customers,57.5111128403,0.0220530892,12.8134801284,0.0001370611,1,0.1155624075,0.1733825353,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0045513370,0.5000000000,1,0,0.0000000000,0.0000000000
is usually,13.8731827247,0.0164265182,12.6128339288,0.0002046085,1,0.2705803659,0.5783859820,23,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0114491329,1.0000000000,1,1,0.0000000000,0.0000000000
to try indian,4.1857944149,0.0078329173,5.1620551787,0.0000944349,1,0.2472758961,0.5393034326,13,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0155297966,0.6666666667,1,0,0.0000000000,0.0000000000
the chef,20.4177717001,0.0293820926,21.3292091353,0.0005101605,1,0.2442007897,1.2632918703,50,0.0000000000,0.0000000000,0.0000000000,0.0144927536,0.0213276767,0.5000000000,1,0,0.0000000000,0.0000000000
see this,9.4535844704,0.0105792729,8.4052366237,0.0001063803,1,0.1175730996,0.1807312638,14,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0087179777,1.0000000000,1,1,0.0000000000,0.0000000000
very little,9.9831288861,0.0139344813,11.0347122391,0.0001790078,1,0.0269613396,0.0273208122,23,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0083624314,1.0000000000,1,1,0.0000000000,0.0000000000
point of,12.0398880041,0.0119390230,9.3100859670,0.0001178324,1,0.1798157199,0.5031773561,14,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0118071048,0.5000000000,0,1,0.0000000000,0.0000000000
were only,12.0566166725,0.0196833074,15.3470090037,0.0003200093,1,0.1588654286,0.2410468998,38,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0094428330,1.0000000000,1,1,0.0000000000,0.0000000000
try something,113.7179427800,0.0686445538,33.1360483748,0.0007845956,1,0.0420422574,0.0467437637,49,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0046675086,1.0000000000,1,1,0.0000000000,0.0000000000
